	name	group	unit
lysoPC a C18:0	lysoPhosphatidylcholine acyl C18:0	lysophosphatidylcholine	µM
lysoPC a C18:1	lysoPhosphatidylcholine acyl C18:1	lysophosphatidylcholine	µM
lysoPC a C18:2	lysoPhosphatidylcholine acyl C18:2	lysophosphatidylcholine	µM
lysoPC a C20:3	lysoPhosphatidylcholine acyl C20:3	lysophosphatidylcholine	µM
lysoPC a C20:4	lysoPhosphatidylcholine acyl C20:4	lysophosphatidylcholine	µM
lysoPC a C24:0	lysoPhosphatidylcholine acyl C24:0	lysophosphatidylcholine	µM
lysoPC a C26:0	lysoPhosphatidylcholine acyl C26:0	lysophosphatidylcholine	µM
lysoPC a C26:1	lysoPhosphatidylcholine acyl C26:1	lysophosphatidylcholine	µM
lysoPC a C28:0	lysoPhosphatidylcholine acyl C28:0	lysophosphatidylcholine	µM
lysoPC a C28:1	lysoPhosphatidylcholine acyl C28:1	lysophosphatidylcholine	µM
PC aa C24:0	Phosphatidylcholine diacyl C24:0	phosphatidylcholine	µM
PC aa C26:0	Phosphatidylcholine diacyl C26:0	phosphatidylcholine	µM
PC aa C28:1	Phosphatidylcholine diacyl C28:1	phosphatidylcholine	µM
PC aa C30:0	Phosphatidylcholine diacyl C30:0	phosphatidylcholine	µM
PC aa C30:2	Phosphatidylcholine diacyl C30:2	phosphatidylcholine	µM
PC aa C32:0	Phosphatidylcholine diacyl C32:0	phosphatidylcholine	µM
PC aa C32:1	Phosphatidylcholine diacyl C32:1	phosphatidylcholine	µM
PC aa C32:2	Phosphatidylcholine diacyl C32:2	phosphatidylcholine	µM
PC aa C32:3	Phosphatidylcholine diacyl C32:3	phosphatidylcholine	µM
PC aa C34:1	Phosphatidylcholine diacyl C34:1	phosphatidylcholine	µM
PC aa C34:2	Phosphatidylcholine diacyl C34:2	phosphatidylcholine	µM
PC aa C34:3	Phosphatidylcholine diacyl C34:3	phosphatidylcholine	µM
PC aa C34:4	Phosphatidylcholine diacyl C34:4	phosphatidylcholine	µM
PC aa C36:0	Phosphatidylcholine diacyl C36:0	phosphatidylcholine	µM
PC aa C36:1	Phosphatidylcholine diacyl C36:1	phosphatidylcholine	µM
PC aa C36:2	Phosphatidylcholine diacyl C36:2	phosphatidylcholine	µM
PC aa C36:3	Phosphatidylcholine diacyl C36:3	phosphatidylcholine	µM
PC aa C36:4	Phosphatidylcholine diacyl C36:4	phosphatidylcholine	µM
PC aa C36:5	Phosphatidylcholine diacyl C36:5	phosphatidylcholine	µM
PC aa C36:6	Phosphatidylcholine diacyl C36:6	phosphatidylcholine	µM
PC aa C38:0	Phosphatidylcholine diacyl C38:0	phosphatidylcholine	µM
PC aa C38:1	Phosphatidylcholine diacyl C38:1	phosphatidylcholine	µM
PC aa C38:3	Phosphatidylcholine diacyl C38:3	phosphatidylcholine	µM
PC aa C38:4	Phosphatidylcholine diacyl C38:4	phosphatidylcholine	µM
PC aa C38:5	Phosphatidylcholine diacyl C38:5	phosphatidylcholine	µM
PC aa C38:6	Phosphatidylcholine diacyl C38:6	phosphatidylcholine	µM
PC aa C40:1	Phosphatidylcholine diacyl C40:1	phosphatidylcholine	µM
PC aa C40:2	Phosphatidylcholine diacyl C40:2	phosphatidylcholine	µM
PC aa C40:3	Phosphatidylcholine diacyl C40:3	phosphatidylcholine	µM
PC aa C40:4	Phosphatidylcholine diacyl C40:4	phosphatidylcholine	µM
PC aa C40:5	Phosphatidylcholine diacyl C40:5	phosphatidylcholine	µM
PC aa C40:6	Phosphatidylcholine diacyl C40:6	phosphatidylcholine	µM
PC aa C42:0	Phosphatidylcholine diacyl C42:0	phosphatidylcholine	µM
PC aa C42:1	Phosphatidylcholine diacyl C42:1	phosphatidylcholine	µM
PC aa C42:2	Phosphatidylcholine diacyl C42:2	phosphatidylcholine	µM
PC aa C42:4	Phosphatidylcholine diacyl C42:4	phosphatidylcholine	µM
PC aa C42:5	Phosphatidylcholine diacyl C42:5	phosphatidylcholine	µM
PC aa C42:6	Phosphatidylcholine diacyl C42:6	phosphatidylcholine	µM
PC ae C30:0	Phosphatidylcholine acyl-alkyl C30:0	phosphatidylcholine	µM
PC ae C30:1	Phosphatidylcholine acyl-alkyl C30:1	phosphatidylcholine	µM
PC ae C30:2	Phosphatidylcholine acyl-alkyl C30:2	phosphatidylcholine	µM
PC ae C32:1	Phosphatidylcholine acyl-alkyl C32:1	phosphatidylcholine	µM
PC ae C32:2	Phosphatidylcholine acyl-alkyl C32:2	phosphatidylcholine	µM
PC ae C34:0	Phosphatidylcholine acyl-alkyl C34:0	phosphatidylcholine	µM
PC ae C34:1	Phosphatidylcholine acyl-alkyl C34:1	phosphatidylcholine	µM
PC ae C34:2	Phosphatidylcholine acyl-alkyl C34:2	phosphatidylcholine	µM
PC ae C34:3	Phosphatidylcholine acyl-alkyl C34:3	phosphatidylcholine	µM
PC ae C36:0	Phosphatidylcholine acyl-alkyl C36:0	phosphatidylcholine	µM
PC ae C36:1	Phosphatidylcholine acyl-alkyl C36:1	phosphatidylcholine	µM
PC ae C36:2	Phosphatidylcholine acyl-alkyl C36:2	phosphatidylcholine	µM
PC ae C36:3	Phosphatidylcholine acyl-alkyl C36:3	phosphatidylcholine	µM
PC ae C36:4	Phosphatidylcholine acyl-alkyl C36:4	phosphatidylcholine	µM
PC ae C36:5	Phosphatidylcholine acyl-alkyl C36:5	phosphatidylcholine	µM
PC ae C38:0	Phosphatidylcholine acyl-alkyl C38:0	phosphatidylcholine	µM
PC ae C38:1	Phosphatidylcholine acyl-alkyl C38:1	phosphatidylcholine	µM
PC ae C38:2	Phosphatidylcholine acyl-alkyl C38:2	phosphatidylcholine	µM
PC ae C38:3	Phosphatidylcholine acyl-alkyl C38:3	phosphatidylcholine	µM
PC ae C38:4	Phosphatidylcholine acyl-alkyl C38:4	phosphatidylcholine	µM
PC ae C38:5	Phosphatidylcholine acyl-alkyl C38:5	phosphatidylcholine	µM
PC ae C38:6	Phosphatidylcholine acyl-alkyl C38:6	phosphatidylcholine	µM
PC ae C40:1	Phosphatidylcholine acyl-alkyl C40:1	phosphatidylcholine	µM
PC ae C40:2	Phosphatidylcholine acyl-alkyl C40:2	phosphatidylcholine	µM
PC ae C40:3	Phosphatidylcholine acyl-alkyl C40:3	phosphatidylcholine	µM
PC ae C40:4	Phosphatidylcholine acyl-alkyl C40:4	phosphatidylcholine	µM
PC ae C40:5	Phosphatidylcholine acyl-alkyl C40:5	phosphatidylcholine	µM
PC ae C40:6	Phosphatidylcholine acyl-alkyl C40:6	phosphatidylcholine	µM
PC ae C42:0	Phosphatidylcholine acyl-alkyl C42:0	phosphatidylcholine	µM
PC ae C42:1	Phosphatidylcholine acyl-alkyl C42:1	phosphatidylcholine	µM
PC ae C42:2	Phosphatidylcholine acyl-alkyl C42:2	phosphatidylcholine	µM
PC ae C42:3	Phosphatidylcholine acyl-alkyl C42:3	phosphatidylcholine	µM
PC ae C42:4	Phosphatidylcholine acyl-alkyl C42:4	phosphatidylcholine	µM
PC ae C42:5	Phosphatidylcholine acyl-alkyl C42:5	phosphatidylcholine	µM
PC ae C44:3	Phosphatidylcholine acyl-alkyl C44:3	phosphatidylcholine	µM
PC ae C44:4	Phosphatidylcholine acyl-alkyl C44:4	phosphatidylcholine	µM
PC ae C44:5	Phosphatidylcholine acyl-alkyl C44:5	phosphatidylcholine	µM
PC ae C44:6	Phosphatidylcholine acyl-alkyl C44:6	phosphatidylcholine	µM
SM (OH) C14:1	Hydroxysphingomyeline C14:1	sphingolipid	µM
SM (OH) C16:1	Hydroxysphingomyeline C16:1	sphingolipid	µM
SM (OH) C22:1	Hydroxysphingomyeline C22:1	sphingolipid	µM
SM (OH) C22:2	Hydroxysphingomyeline C22:2	sphingolipid	µM
SM (OH) C24:1	Hydroxysphingomyeline C24:1	sphingolipid	µM
SM C16:0	Sphingomyeline C16:0	sphingolipid	µM
SM C16:1	Sphingomyeline C16:1	sphingolipid	µM
SM C18:0	Sphingomyeline C18:0	sphingolipid	µM
SM C18:1	Sphingomyeline C18:1	sphingolipid	µM
SM C20:2	Sphingomyeline C20:2	sphingolipid	µM
SM C22:3	Sphingomyeline C22:3	sphingolipid	µM
SM C24:0	Sphingomyeline C24:0	sphingolipid	µM
SM C24:1	Sphingomyeline C24:1	sphingolipid	µM
SM C26:0	Sphingomyeline C26:0	sphingolipid	µM
SM C26:1	Sphingomyeline C26:1	sphingolipid	µM
H1	Sum of Hexoses (90% glucose)	sugar	µM
TCA	Taurocholic acid	bile acid	µM
GCA	Glycocholic acid	bile acid	µM
GCDCA	Glycochenodeoxycholic acid	bile acid	µM
TCDCA	Taurochenodeoxycholic acid	bile acid	µM
TLCA	Taurolithocholic acid	bile acid	µM
GLCA	Glycolithocholic acid	bile acid	µM
TDCA	Taurodeoxycholic acid	bile acid	µM
GDCA	Glycodeoxycholic acid	bile acid	µM
CA	Cholic acid	bile acid	µM
CDCA	Chenodeoxycholic acid	bile acid	µM
UDCA	Ursodeoxycholic acid	bile acid	µM
DCA	Deoxycholic acid	bile acid	µM
TUDCA	Tauroursodeoxycholic acid	bile acid	µM
GUDCA	Glycoursodeoxycholic acid	bile acid	µM
LCA	Lithocholic acid	bile acid	µM
Urea			mmol/l
Blood Creatinine			µmol/l
ALT	Alanine transaminase		IU/l
AST	Aspartate Aminotransferase		IU/l
ALP	Alkaline phosphatase		IU/l
Albumin			g/l
Total Cholesterol			
HDL	High-density lipoprotein		mmol/l
LDL	Low-density lipoprotein		mmol/l
Triglycerides			mmol/l
Troponin T			µg/l
TSH	Thyroid-stimulating hormone		ng/ml
FT4	thyroxine		ng/ml
FT3	triiodothyronine		pg/ml
IL6	interleukin-6		pg/ml
IL10	interleukin-10		pg/ml
ACTH	Adrenocorticotropic hormone		pg/ml
Aldosterone			pg/ml
BNP	B-type natriuretic peptide		pg/ml
DHEA	Dehydroepiandrosterone		pg/ml
Adrenaline			pg/ml
Noradrenaline			ng/ml
Glucagon			pg/ml
Cortisol			nmol/l
Estradiol			pg/ml
GH	growth hormone		ng/ml
Leptin			pg/ml
Prolactin			ng/ml
Testosterone			nmol/l
Vasopressin			pg/ml
